#,pk,title,description,first_name,last_name,note
39,6a1e1ffc-9fa2-40b0-8f94-7d7f373b7511,5 min Cool Down Run,Let your heart rate and muscles recover in this cool down run.,Robin,Arzón,
40,e904fdb0-f6ff-4050-ae61-4e64c6623104,30 min Intervals & Arms Ride,"Bursts of effort alternated with free weight segments, this ride will challenge your mind and strengthen your body from the inside out.",Jenn,Sherman,
41,f3783d04-9d8e-4040-82f9-dbffb61ca1a7,20 min Pilates,"This 20-minute mat Pilates class increases core strength, flexibility and body awareness. Focus on fundamentals and learn modifications to kick-start a strong Pilates practice.",Aditi,Shah,Take this in the morning
42,97d9dabd-a9ed-4f2e-bacb-7a6c459a27e2,20 min The Little Mermaid Upper Body,Life is the bubbles in this 20 min Strength class with Robin! Flex your fins to the soundtrack of Disney’s “The Little Mermaid”.,Robin,Arzón,
43,9ce30e2d-fda4-4ff7-a0b1-d1e74d6a66fb,30 min Power Walk,Increase your incline and visualize yourself conquering mountains in this hike on the Tread.,Matty,Maggiacomo,
44,020f39a5-ea3a-4959-bacf-828ad2f60f51,10 min Body Scan Meditation,"This guided meditation systematically focuses attention on different parts of the body. Physical sensations are observed, and relaxation is promoted in areas where there is tension.",Kristin,McGee,This is great for falling asleep
45,db67abf7-0bc3-4b7a-9273-8a2117a23555,30 min Focus Flow: For Riders,This yoga class focuses on poses that complement your hard work on the Bike so you can be fresh and ready for your next workout.,Kristin,McGee,
46,4a48f9a2-5a82-4d51-941e-3d1a75932085,10 min Core Strength,Join us on the floor for a core workout to align and strengthen your abdominal muscles and lower back.,Jermaine,Johnson,My abs were on fire
47,b0c49a45-e4ba-4b2a-bd8f-2eb4fa8a29ef,30 min Endurance Row,"Improve your stamina and build aerobic endurance in this class designed around steady state, low intensity intervals.",Matt,Wilpers,
48,72641da8-922a-4076-b1a2-2758965b5219,30 min Tabata Ride,"Two on, one off. This high-impact style of intervals gives you a 2:1 ratio of effort to recovery, pumping you with energy and the power to take on your next challenge.",Ally,Love,
49,2bcdd28d-0abe-469f-8c71-add6eb4409c0,15 min 90s Rock Run,Run to the beat of a high-energy 90s Rock playlist with a smile on your face in this fun run.,Jon,Hosking,
50,1e87d3c4-d256-49cb-b1df-750cf42cfe9c,10 min Upper Body Stretch,Recovery starts here! Your muscles will thank you after taking this upper-body stretch so you’re ready for your next workout.,Andy,Speer,
